objectname,RA,DEC,period,PeriodError,magdata,sector,R2
TIC 336208030,281.2776156,40.18651595,0.577975323,0.0001137961156187,0.498054772,[26],0.999892187
TIC 289969374,118.6273909,78.11259497,0.255931967,9.609677417310936e-05,0.465359635,"[20, 60, 47, 53, 40, 26]",0.999892099
TIC 405352433,22.56860021,13.55700902,0.324578008,6.772521326839721e-05,0.590192832,[42],0.999890935
TIC 456797644,113.1926302,-20.79196565,0.819567954,0.0002015568120888,0.449147533,[61],0.999890302
TIC 421110675,11.469604,63.08568156,0.318966186,0.000128086352335,0.682822218,"[24, 58, 18]",0.999890265
TIC 115419820,252.380168,47.10800159,0.878327206,0.0002945405312826,0.34873218,"[25, 52, 24, 51]",0.999889562
TIC 95525589,202.7743382,12.26066551,0.218043471,4.02349180605112e-05,0.403722,"[50, 23]",0.999889125
TIC 115105140,316.4957879,-36.25944042,0.410795009,9.02044126691841e-05,0.351701642,[1],0.999888833
TIC 164775666,27.22559773,-20.89294319,0.316835404,7.618428186195569e-05,0.814378022,[3],0.999888122
TIC 121134517,58.00085802,-21.93009694,0.335226808,0.0001718339640932,0.374683851,[4],0.999887957
TIC 265402860,134.2106668,2.506785281,0.275296502,0.000114487947393,0.509277665,"[61, 34]",0.999886976
TIC 77091972,34.20467212,-41.75250573,0.371645738,7.3556075890523e-05,0.324016758,[30],0.999885738
TIC 176355865,122.0419587,-22.13183542,0.413447591,0.0002502311689828,0.276046314,"[61, 34]",0.999885701
TIC 204325855,346.9525761,-22.04654078,0.484732168,9.882711734423522e-05,0.415652534,[2],0.999885531
TIC 23221002,47.46976563,-6.892641741,0.445008333,9.146437093544332e-05,0.541556974,[4],0.999885468
TIC 428534573,56.2552181,49.61663317,0.376749385,7.47417349492627e-05,0.281377836,[19],0.99988542
TIC 405533713,202.4431603,-32.33386751,0.280089616,7.011468619416303e-05,0.370657583,"[64, 11]",0.999885374
TIC 326675379,1.655756035,55.45603465,0.272387783,0.0001026346149288,0.336587465,[24],0.999884987
TIC 318185328,162.1417983,-3.624495316,0.368339085,8.209062460304682e-05,0.479530802,"[35, 9, 45, 46, 62]",0.999884203
TIC 214657111,349.0130241,-15.89206633,0.469904084,9.920063002032324e-05,0.244504998,[29],0.999883844
TIC 274088422,49.49640712,2.503212618,0.341295785,8.5659165124057e-05,0.402340797,[4],0.999882903
TIC 404482465,201.7249106,7.658997004,0.306043421,6.680454724112834e-05,0.510419285,[50],0.999882843
TIC 402656199,294.0367089,67.91390775,0.590725024,0.0006249451066653,0.452758654,"[52, 57, 58, 60, 41, 47, 55, 48, 56, 49, 54, 40, 53, 51]",0.999882361
TIC 147610499,148.6192363,69.22285078,0.528939033,0.0001845155064595,0.398089861,"[47, 21, 20, 41, 40, 60]",0.999882293
TIC 278895603,101.0779507,-55.45361049,0.740713281,0.0001642130095046,0.301455227,"[62, 66, 63, 65, 12, 13, 9, 11, 61]",0.999881854
TIC 456130400,51.66201092,42.72355109,0.351584953,7.638774790072942e-05,0.331826024,"[58, 18]",0.999881844
TIC 141770299,91.85841183,-76.9269087,0.400442288,8.486237865282168e-05,0.212397256,"[2, 13, 1, 5, 10, 4, 11, 9, 8, 7, 6, 3, 12]",0.999881722
TIC 365919734,93.53321014,36.8259754,0.430644859,6.935894371070021e-05,0.634316005,[60],0.999881509
TIC 117978580,71.74587639,-14.62313781,0.527791079,0.0001740484231345,0.547543102,[5],0.999881417
TIC 35009375,164.77483,-3.544053,1.070127813,0.0002074908646125,0.311451267,"[9, 45, 62]",0.999881296
TIC 308076113,167.8949191,-13.43610568,0.263582847,4.924161030337603e-05,0.433424318,"[63, 9]",0.999881215
TIC 441025443,324.1528565,-22.29969011,0.543951834,0.0002180595943374,0.334614041,[28],0.999880977
TIC 340916754,310.2753949,13.02916596,1.084929827,0.0006740473551929,0.235085767,[55],0.999880518
TIC 140132301,127.33621,-43.842238,0.656707419,0.0001083177590534,0.231672315,"[8, 62, 61, 9, 34, 35]",0.999880223
TIC 293195900,339.2794527,2.874759297,0.597656008,0.000395759336142,0.281231725,[42],0.99987988
TIC 250203533,320.3533613,-3.160260117,0.374466994,9.863425570732518e-05,0.37746821,[55],0.999879412
TIC 387586260,44.41258104,7.178745001,0.880952099,0.0001495739089533,0.508472363,"[42, 43, 4, 44]",0.999879347
TIC 151233402,91.25112274,12.55131439,0.809243859,0.0003094940545845,0.551695807,[33],0.999879162
TIC 302240958,125.538784,24.04149445,0.407030301,9.278933339933502e-05,0.567485553,"[46, 45]",0.999878889
TIC 178834939,150.8725225,-3.013135185,0.339846809,6.338068436510376e-05,0.615027726,[35],0.999878735
TIC 311103813,256.9897163,-73.7265,0.528141235,8.304449557369443e-05,0.455369764,"[66, 13, 12]",0.999878703
TIC 290034099,290.5489269,49.47621783,0.591668372,0.0006000979533332,0.551575231,"[54, 41, 53, 15, 40, 55]",0.999878363
TIC 274969703,257.7497526,46.28895911,0.510346563,0.0001760002082504,0.469485081,"[26, 24]",0.999877989
TIC 53603189,103.1334276,-25.55842613,0.418588384,0.0002993469729818,0.350316726,"[33, 6, 7]",0.999877558
TIC 376023519,317.2822086,62.88890449,0.364518232,0.0001643791277994,0.340935863,"[58, 57, 56, 17, 16, 24]",0.99987702
TIC 59038877,57.36569519,12.91217922,0.305331228,5.918818558491443e-05,0.74403836,"[42, 43, 44, 5]",0.999876781
TIC 115971584,266.0441044,40.28086388,0.346695704,0.0001331145991398,0.317487195,"[26, 25]",0.999876566
TIC 402107145,182.3361632,-27.98207702,0.292338071,6.731711410086346e-05,0.302264638,"[63, 10]",0.99987619
TIC 159854359,236.7939878,53.03633353,0.326456222,7.108820053228344e-05,0.5484961,"[23, 49, 51, 16, 50, 24]",0.999875763
TIC 419994778,34.46459958,2.37285461,0.430838387,0.0003177392242094,0.206261752,"[4, 43, 42, 31]",0.999874952
TIC 406732815,188.2511842,26.71621178,0.23741006,7.547049834967413e-05,0.538143148,"[22, 49]",0.9998744
TIC 67707714,225.1955812,35.13187321,0.317145015,0.0001209617154473,0.607368271,"[50, 24, 23, 51]",0.999874331
TIC 370960295,145.554012,-66.914818,1.092247834,0.0019093275263264,0.153035271,"[9, 63, 64, 65]",0.999874157
TIC 302125867,307.3192512,-29.93535621,0.389668017,0.0002326819324951,0.330641165,[27],0.999873451
TIC 261105201,82.827401,-79.008764,0.956084886,0.0002042610862825,0.303507336,"[13, 12, 1, 63, 2, 5, 7, 62, 64, 61, 66, 65, 8, 4]",0.999873386
TIC 345451479,57.98765058,9.691532375,0.442872021,0.0003277198708037,0.457774647,"[5, 42, 43, 44]",0.999873258
TIC 31118189,81.215128,-28.153288,0.275910775,0.0001100249631516,0.404169406,"[6, 5]",0.999872962
TIC 404460906,15.8639747,-12.17306388,0.586036719,0.0001404489936171,0.237659735,[3],0.999872361
TIC 311235572,253.9881087,68.20008934,0.618906921,0.0001024566472285,0.516513092,"[47, 55, 53, 54, 40, 48, 52, 49, 50, 51]",0.999872211
TIC 260370454,95.25084757,-54.54912709,0.794411673,0.0001257276319221,0.740489604,"[5, 62, 61, 6, 65, 4, 66]",0.999871089
TIC 242944454,58.6048753,12.06883916,0.404715477,0.0001471210978974,0.412621024,"[44, 5, 42, 43]",0.999870587
TIC 159983399,241.5092191,50.18697392,0.418845986,0.0001970679401177,0.518515669,"[24, 51, 25, 23, 50]",0.999870274
TIC 261089147,81.70719496,-81.58533533,0.461927434,8.584900149719044e-05,0.454355075,"[61, 65, 39, 11, 28, 66, 13, 12, 27, 1, 38]",0.999870203
TIC 280033934,297.5894671,70.28765126,0.278757113,0.0001094435296554,0.438417605,"[58, 50, 19, 14, 41, 40, 47, 55, 57, 48, 15, 26, 53, 20, 16, 49, 54, 56, 18, 25, 60, 51, 23, 52, 22, 21]",0.999869713
TIC 422523985,351.9516178,4.856648797,0.261201978,3.949862241239393e-05,0.238573522,"[56, 42]",0.999869672
TIC 349231109,205.697143,-18.88536097,0.408900236,9.364543992523977e-05,0.302008007,[37],0.999869553
TIC 136656542,305.7782292,30.82575912,0.652377314,0.0001472240168494,0.441737127,"[55, 41, 15]",0.999869511
TIC 294396726,109.1804842,-56.39688329,0.900712947,0.0001584223136987,0.586395281,"[61, 39, 33, 62, 36, 63, 35, 30, 7, 34]",0.999869212
TIC 146520491,76.57357669,-20.13133163,0.448419751,0.0001051290548031,0.312310689,"[5, 32]",0.999868557
TIC 429973546,96.00321476,20.47025358,0.350542367,8.321154543844089e-05,0.365264363,"[43, 45, 44]",0.999868473
TIC 355269641,296.7564286,-48.27874912,0.912014336,0.0001973404251937,0.324713794,[27],0.999868357
